Coleotechnites moreonella  Heinrich
Coleotechnites nigritus  Hodges
Coleotechnites obliquistrigella  Chambers
Coleotechnites occidentis  Freeman
Coleotechnites piceaella  Kearfott
Coleotechnites pinella  Busck
Coleotechnites ponderosae  Hodges & Stevens
Coleotechnites quercivorella  Chambers
Coleotechnites resinosae  Freeman
Coleotechnites sp.
Coleotechnites sp.  
Coleotechnites stanfordia  Keifer
Coleotechnites starki  Freeman
Coleotechnites thujaella  Kearfott
Coleotechnites vagatioella  Chambers
Coleotechnites variella  Chambers
Compsolechia crescentifasciella  Chambers
Compsolechia mangelivora  Walsingham
Compsolechia seductella  Walker
Compsolechia sp.  
Compsolechia sp. 1
Compsolechia sp. 1  
Compsolechia sp. 4
Cosmardia moritzella  Hubner
Crasimorpha infuscata  Hodges
Cymotricha melissia  Walsingham
Dactylethrella candida  Stainton
Dactylethrella tegulifera  Meyrick
Deltophora fuscomaculata Park
Deltophora peltosema  Lower
Dendrophilia caraganella  Ponomarenko
Dendrophilia leguminella  Ponomarenko
Dendrophilia mediofasciana  Park
Dendrophilia neotaphronoma  Ponomarenko
Dendrophilia unicolorella  Ponomarenko
Dichomeris
Dichomeris   
Dichomeris acuminatus  Staudinger
Dichomeris adelocentra  Meyrick
Dichomeris aenigmatica  Clarke
Dichomeris aglaia  Hodges
Dichomeris agonia  Hodges
Dichomeris alacella  Zeller
Dichomeris aleatrix  Hodges
Dichomeris allantopa  Meyrick
Dichomeris antisticha  Meyrick
Dichomeris antisticta  Meyrick
Dichomeris atomogypsa  Meyrick
Dichomeris autometra  Meyrick
Dichomeris barbella  Hubner
Dichomeris barymochla  Meyrick
Dichomeris baxa  Hodges
Dichomeris bilobella  Zeller
Dichomeris bipunctella  Walsingham
Dichomeris bisignella  Snellen
Dichomeris bolize  Hodges
Dichomeris brachyptila  Meyrick
Dichomeris capnites  Meyrick
Dichomeris chlanidota  Meyrick
Dichomeris cisti  Staudinger
Dichomeris citrifoliella  Chambers
Dichomeris claviculata  Meyrick
Dichomeris condaliavorella  Busck
Dichomeris consertella  Christoph
Dichomeris copa  Hodges
Dichomeris costarufoella  Chambers
Dichomeris crepitatrix  Meyrick
Dichomeris cuspis  Park
Dichomeris cymatodes  Meyrick
Dichomeris decusella  Walker
Dichomeris delotella  Busck
Dichomeris derasella  Denis & Schiff.
Dichomeris eridantis  Meyrick
Dichomeris eucomopa  Meyrick
Dichomeris euprepes  Hodges
Dichomeris eurynotus  Walsingham
Dichomeris exallacta  Meyrick
Dichomeris fasciella  Hubner
Dichomeris ferruginosa  Meyrick
Dichomeris flavocostella  Clemens
Dichomeris fuscalis  Park & Hodges
Dichomeris georgiella  Walker
Dichomeris granivora  Meyrick
Dichomeris hastata  Meyrick
Dichomeris helianthemi  Walsingham
Dichomeris holomela  Lower
Dichomeris hoplocrates  Meyrick
Dichomeris horoglypta  Meyrick
Dichomeris ianthes  Meyrick
Dichomeris indiserta  Meyrick
Dichomeris inserrata  Walsingham
Dichomeris intensa  Meyrick
Dichomeris inversella  Zeller
Dichomeris juncidella  Clemens
Dichomeris juniperella  Linnaeus
Dichomeris latipennella  Rebel
Dichomeris leptosaris  Meyrick
Dichomeris lespedezae  Park
Dichomeris leuconotella  Busck
Dichomeris levisella  Fyles
Dichomeris ligulella  Hubner
Dichomeris limbipunctellus  Staudinger
Dichomeris limosellus  SchlÃƒÂ¤ger
Dichomeris lygropa  Lower
Dichomeris marginella  Fabricius
Dichomeris mesoctenis  Meyrick
Dichomeris metatoxa  Meyrick
Dichomeris microdoxa  Meyrick
Dichomeris microsphena  Meyrick
Dichomeris nenia  Hodges
Dichomeris nonstrigella  Chambers
Dichomeris nr. aenigmatica  Clarke
Dichomeris nr. hemiclina  Meyrick
Dichomeris oceanis  Meyrick
Dichomeris ochripalpella  Zeller
Dichomeris ochthophora  Meyrick
Dichomeris ostracodes  Meyrick
Dichomeris petalodes  Meyrick
Dichomeris picrocarpa  Meyrick
Dichomeris piperata  Walsingham
Dichomeris quercicola  Meyrick
Dichomeris rasilella  Herrich-SchÃƒÂ¤ffer
Dichomeris resignata  Meyrick
Dichomeris rustica  Walsingham
Dichomeris santarosensis  Hodges
Dichomeris schmidiella  Heyden
Dichomeris serrativittella  Zeller
Dichomeris setosella  Clemens
Dichomeris siderosema  Turner
Dichomeris simpliciella  Busck
Dichomeris simpliciella or nr.  Busck
Dichomeris sp.  
Dichomeris sp. 1
Dichomeris sp. 1  
Dichomeris sp. 2  
Dichomeris sp. 3
Dichomeris sp. 3  
Dichomeris sp. 4  
Dichomeris sp. 5
Dichomeris sp. 6
Dichomeris sp. 8
Dichomeris sparsella  Christoph
Dichomeris stipendiaria  Braun
Dichomeris tostella  Stringer
Dichomeris trinotella  Busck
Dichomeris ustalella  Fabricius
Dichomeris vacciniella  Busck
Dichomeris varronia  Busck
Dichomeris ventrella  Fitch
Dichomeris vindex  Hodges
Dichomeris washingtoniella  Busck
Empedaula insipiens  Meyrick
Encolpotis xanthoria  Meyrick
Ephysteris cyrenaica  Povolny
Ephysteris ornata  Janse
Ephysteris promptella  Staudinger
Ephysteris subdiminutella  Stainton
Ephysteris zygophyllella  Rebel
Epidola stigma  Staudinger
Epimimastis glaucodes  Meyrick
Ethmiopsis tegulifera  Meyrick
